trade_id,timestamp,action,price,quantity,position_type,prediction,actual_next,pnl,pnl_pct,cumulative_pnl,transaction_cost,fold_id
1,2025-12-19T02:00:00,BUY,85643.44,1.167631753231771,LONG,86728.44789930555,86891.39,0.0,0.0,0.0,149.99999999999997,1
2,2025-12-19T07:00:00,SELL,87953.4,1.167631753231771,LONG,86754.83071180555,88102.78,2543.1368707282095,2.54313687072821,2393.136870728209,154.04577396704286,1
3,2025-12-19T08:00:00,SELL,88102.78,1.1622009756187968,SHORT,86847.86977430555,88105.03,0.0,0.0,0.0,153.58970530609233,1
4,2025-12-22T19:00:00,BUY,88052.43,1.1622009756187968,SHORT,89388.11196180555,88351.03,-94.98511095499552,-0.09276511478978776,2144.5620544671256,153.5019300774087,1
5,2025-12-22T20:00:00,BUY,88351.03,1.156121915663769,LONG,89348.58852430555,88275.06,0.0,0.0,0.0,153.2168430817007,1
6,2025-12-26T02:00:00,SELL,89199.99,1.156121915663769,LONG,88018.44789930555,88844.87,826.8121665479371,0.8094529458230496,2818.1573779333703,154.68909497398357,1
7,2025-12-26T14:00:00,BUY,87380.43,1.176672595659387,LONG,88564.44789930555,87137.81,0.0,0.0,0.0,154.22723606690005,1
8,2025-12-29T02:00:00,SELL,89163.25,1.176672595659387,LONG,88054.93227430555,90123.55,1940.4215077710867,1.8872362209707683,4604.351649637552,157.37392922239025,1
9,2025-12-29T03:00:00,SELL,90123.55,1.1606772219873447,SHORT,88159.34633680555,90143.06,0.0,0.0,0.0,156.90652747445634,1
10,2025-12-29T10:00:00,BUY,87780.01,1.1606772219873447,SHORT,88854.94008680555,87567.66,2567.2671095869996,2.4542641573706407,7014.712231750105,152.826387229232,1
11,2025-12-29T11:00:00,BUY,87567.66,1.2220803003271996,LONG,88837.94008680555,87397.0,0.0,0.0,0.0,160.52206834762518,1
12,2025-12-30T14:00:00,SELL,88875.83,1.2220803003271996,LONG,87922.64321180555,89016.35,1435.7686849516867,1.3416554182217477,8289.958848354174,162.92010152734372,1
13,2025-12-30T15:00:00,SELL,89016.35,1.2165176267995055,SHORT,88005.05727430555,88742.63,0.0,0.0,0.0,162.43493827253127,1
14,2025-12-31T16:00:00,BUY,87656.98,1.2165176267995055,SHORT,88634.33852430555,87620.82,1493.7431744194382,1.3793921341416602,9621.267084501073,159.95439192301757,1
15,2025-12-31T17:00:00,BUY,87620.82,1.2510869800636546,LONG,88584.25258680555,87684.07,0.0,0.0,0.0,164.4319006267516,1
16,2026-01-02T16:00:00,SELL,90376.05,1.2510869800636546,LONG,89169.49477430555,90370.52,3277.429930883905,2.989775632092915,12734.265114758236,169.60244919687278,1
17,2026-01-02T17:00:00,SELL,90370.52,1.247467261610957,SHORT,89246.65102430555,89773.1,0.0,0.0,0.0,169.10139767213735,1
18,2026-01-06T17:00:00,BUY,91589.24,1.247467261610957,SHORT,93070.08071180555,92034.09,-1691.69516869425,-1.5006042457208404,10873.468548391844,171.3818676237431,1
19,2026-01-06T18:00:00,BUY,92034.09,1.2047000035355577,LONG,92983.69789930555,92104.5,0.0,0.0,0.0,166.31020282258774,1
20,2026-01-06T23:00:00,SELL,93747.97,1.2047000035355577,LONG,92722.36196180555,92709.52,1895.3039723738502,1.7094296743739246,12602.462317943107,169.40726968567705,1
21,2026-01-07T18:00:00,BUY,90901.39,1.2387320184866601,LONG,92005.77602430555,91186.07,0.0,0.0,0.0,168.90369347691467,1
22,2026-01-12T02:00:00,SELL,92203.56,1.2387320184866601,LONG,90839.54946180555,91808.12,1441.7164195270882,1.2803595852604654,13875.275043993286,171.3232529856838,1
23,2026-01-12T04:00:00,SELL,92175.78,1.2354142817559373,SHORT,90961.48696180555,92111.86,0.0,0.0,0.0,170.81291256598993,1
24,2026-01-18T23:00:00,BUY,93673.14,1.2354142817559373,SHORT,95062.99634777047,92711.02,-2023.447631389456,-1.7768981287709207,11681.01450003784,173.58770245938507,2
25,2026-01-19T00:00:00,BUY,92711.02,1.204614235719096,LONG,94904.86353527047,92586.65,0.0,0.0,0.0,167.52152175005676,2
26,2026-01-21T19:00:00,SELL,90355.56,1.204614235719096,LONG,89451.23853527047,90214.01,-3000.6860384454662,-2.6868363005821814,8512.806939842325,163.2653907785564,2
27,2026-01-22T14:00:00,BUY,89088.59,1.2180326003570416,LONG,90116.74634777047,89000.01,0.0,0.0,0.0,162.76921040976347,2
28,2026-02-25T15:00:00,SELL,67412.33,1.2180326003570416,LONG,66683.43209886696,68297.35,-26525.556957224362,-24.44463257865008,-18175.51922779181,123.16562340904053,3
29,2026-02-25T16:00:00,SELL,68297.35,1.1980623080135346,SHORT,66923.14303636696,68674.2,0.0,0.0,0.0,122.73672115831229,3
30,2026-02-26T15:00:00,BUY,67382.0,1.1980623080135346,SHORT,68137.08834886696,66643.55,975.554581982344,1.1922527008734685,-17322.701366967784,121.091751657852,3
31,2026-02-26T16:00:00,BUY,66643.55,1.240589653957993,LONG,68005.39303636696,66826.8,0.0,0.0,0.0,124.01594794954833,3
32,2026-02-28T20:00:00,SELL,66959.62,1.240589653957993,LONG,66273.08834886696,66723.22,267.50905421905543,0.3235580487533939,-17179.208260698273,124.60411770743806,3
33,2026-03-01T08:00:00,BUY,66560.14,1.2443001432884866,LONG,67534.50241136696,66410.08,0.0,0.0,0.0,124.23118760895258,3
34,2026-03-02T15:00:00,SELL,69130.2,1.2443001432884866,LONG,67099.17428636696,69428.62,3068.8979496116626,3.7054680173449124,-14234.541498695558,129.0280766483426,3
35,2026-03-02T16:00:00,SELL,69428.62,1.2353040936332085,SHORT,67378.54147386696,69198.0,0.0,0.0,0.0,128.64818775195664,3
36,2026-03-03T05:00:00,BUY,67947.75,1.2353040936332085,SHORT,68674.72116136696,68106.73,1703.4205725463548,1.986138245294225,-12659.769113901159,125.90420059224877,3
37,2026-03-03T08:00:00,BUY,67003.3,1.303521332323913,LONG,68443.94772386696,66647.98,0.0,0.0,0.0,131.01034632914826,3
38,2026-03-03T18:00:00,SELL,68628.49,1.303521332323913,LONG,67938.87741136696,68435.0,1984.2817829992355,2.271898943783369,-10806.497677231062,134.1880510802675,3
39,2026-03-04T07:00:00,SELL,69493.13,1.2834866169183765,SHORT,68415.70553636696,71011.4,0.0,0.0,0.0,133.7902534841534,3
40,2026-03-05T17:00:00,BUY,70704.41,1.2834866169183765,SHORT,71506.09616136696,70990.65,-1690.7839153290543,-1.8956357484545578,-12631.071846044273,136.12224598816476,3
41,2026-03-06T13:00:00,BUY,69208.0,1.262410821782969,LONG,70213.62741136696,68409.89,0.0,0.0,0.0,131.0533922309336,3
42,2026-03-09T13:00:00,SELL,68976.0,1.262410821782969,LONG,68085.16647386696,69151.5,-423.4933839186019,-0.48471852964975143,-13185.618622193811,130.6140732649531,3
43,2026-03-09T14:00:00,SELL,69151.5,1.2554229680889957,SHORT,68234.51022386696,68863.66,0.0,0.0,0.0,130.22157206670929,3
44,2026-03-12T02:00:00,BUY,69286.56,1.2554229680889957,SHORT,69991.14303636696,69446.61,-300.0333342759112,-0.3456032624021137,-13615.873528536438,130.47590820581442,3
45,2026-03-13T00:00:00,SELL,71475.61,1.2085818710950988,SHORT,70164.56491136696,71672.39,0.0,0.0,0.0,129.57618970719534,3
